page_id	page_name	quality	popularity	authors_interest
5693530	Rue du Sergent-Blandan (Lyon)	35.2883	0.0	0
8776968	David Knowles	16.5869	0.0	0
5936591	Michu (football)	28.5438	5.0	0
9835830	Guerre civile du Yémen du Sud	15.1229	2.0	0
2036097	Les Locataires de Mickey	21.6081	0.0	0
8793075	Isicabu kombo	16.326	0.0	0
5118207	L'Angoisse	7.5298	0.0	0
1373824	Moanda (Gabon)	37.2679	5.0	2
4926238	Horní Libchava	23.2802	0.0	0
11821018	Ligue des champions de volley-ball masculin 2018-2019	40.2908	14.0	2
11881375	(7944) 1991 PR12	33.1735	0.0	0
1988333	Raymond Firth	12.5773	1.0	0
1516603	CCM (hockey)	10.1563	7.0	0
7983562	45° à l'ombre	14.1531	0.0	0
12062623	Gueorgui Nisski	27.8571	0.0	0
3592354	Ryegate (Montana)	6.3854	0.0	0
7846160	La Voyante (téléfilm)	5.6451	1.0	0
4963779	Nabburg	4.8646	0.0	0
5686281	Bantam Spectra	13.5921	0.0	0
1112785	Élections générales nicaraguayennes de 2006	16.5628	1.0	0
5277768	Teatro degli Industri	5.4843	0.0	0
313614	Teburoro Tito	27.5353	0.0	0
1043398	Donna Williams	24.8231	4.0	0
12081009	Goodia (plante)	10.5308	0.0	0
3537799	Tangara carmin	3.1286	1.0	0
11335994	Charles Wérotte	5.9154	0.0	0
579162	Prix Claude-Jutra pour la relève	3.2946	0.0	0
3737504	Coupe de France féminine de cyclisme sur route 2008	6.8076	0.0	0
4551346	Ethan Moreau	12.4311	0.0	0
9142349	Cabildo	0.8839	0.0	0
4157373	Red Wing (Minnesota)	7.8785	0.0	0
11619745	Sarah Guillemard	9.5116	0.0	0
389139	Alexandra Kollontaï	47.3296	24.0	0
4902864	Stefanie Höner	3.9755	0.0	0
2870545	Petite messe solennelle	53.2809	16.0	3
5300326	Bataille de Buzenval (1870)	28.6823	3.0	0
5120406	Rai (nourrice d'Ahmès-Néfertary)	18.9061	0.0	0
838288	Lygaeus	4.6435	0.0	1
9657218	Ludwig Kaindl	7.818	0.0	0
3053273	Tramway d'Étaples à Paris-Plage	46.1402	1.0	1
10586180	In a Time Lapse	18.5446	1.0	0
5349326	Jean Cuttat	31.7445	0.0	0
6548505	Chrysanthemum vestitum	20.6615	0.0	0
5891410	Bernard Launois	11.2771	2.0	0
4723344	Le Roi des resquilleurs (film, 1930)	20.8682	1.0	0
1351406	Hohe Salve	6.2385	0.0	0
5821870	Prix Avicenne d’éthique scientifique	15.2629	0.0	0
3196921	Slivno (Dubrovnik-Neretva)	18.2527	0.0	1
3354541	Johanna Korhonen	6.104	0.0	1
1539425	Due diligence	10.1736	119.0	0
11172593	Ellie Gall	12.5405	3.0	0
12047544	Phare de Friedrichsort	26.8591	0.0	1
10293341	Alina Kenzel	12.2226	0.0	0
1722592	Vranjska Banja	21.811999999999998	0.0	1
6112725	François Ullens	4.4094	0.0	0
508429	Maurice Couture	15.5077	1.0	1
11899808	(16658) 1993 UD1	33.26	0.0	0
5491092	Championnat de Hongrie de football 1951	18.0562	0.0	0
6530167	Rue des Deux Maisons	4.4434	0.0	0
3819588	Dragon Quest Monsters: Terry's Wonderland	15.5558	1.0	0
11361374	Dwayne Morton	7.2326	0.0	0
295536	Comté de Fresno	14.5796	1.0	0
4837986	Engavågen	5.8839	0.0	0
3035913	Bieringen (Rottenburg)	16.687	0.0	0
11133470	Gil Grant	10.7544	0.0	0
269546	Intentionnalité	40.7488	28.0	0
12188114	Raymond Thiry	30.5006	0.0	0
9635286	Famille Jankovich-Bésán	7.1742	0.0	0
2486394	District de Guangling	24.1356	0.0	0
4618974	Doumanaba	16.5911	0.0	0
6300788	Allactaga major	12.370999999999999	1.0	0
3959464	Pacific Fighters	9.8902	1.0	1
1113748	ESL	0.7016	1.0	0
5426900	Maurice Chomat	13.1099	0.0	0
1673470	Selfridges	13.5746	13.0	0
2729338	Andrea Ypsilanti	7.454	0.0	0
9940439	T-Bord	51.8311	1.0	0
796765	Andrea D'Angelo	6.5352	0.0	0
671365	Canton d'Axat	16.1483	0.0	0
4164405	Per Erik Wallqvist	2.8758	0.0	0
9266129	Daniel Bernal	23.8084	0.0	0
3452674	Étienne-Marie Stirnemann	5.5123	0.0	0
11340097	Riversdale	20.9227	0.0	0
6236614	Nagata Mikihiko	5.9461	0.0	0
403410	Luna 16	34.4809	3.0	0
83386	Saint-Jean-Saint-Gervais	27.0359	1.0	1
692836	Saalfelden	24.1402	1.0	0
9758730	Gustaf Rosenquist	19.6595	0.0	0
11076121	Mound Prairie Township (comté de Jasper, Iowa)	23.193	0.0	0
4100405	Arrondissement de Bélé	22.035	0.0	0
4271218	Anjou (AOC)	55.4915	11.0	0
8963118	Cinéma letton	7.0696	1.0	1
5881493	Gerbershausen	23.2965	0.0	0
7515697	Komtoèga	27.4887	0.0	0
3788517	Karthago Airlines	22.476	2.0	0
12230420	Moha Rharsalla	13.8997	1.0	0
2971067	Léopold-Jean Daras	7.2366	0.0	0
5987778	Barbarella (homonymie)	0.7297	0.0	0
9611080	Dendrophyllia florulenta	12.8271	0.0	0
686102	Théorème de Newton-Hamilton	5.0327	0.0	0
9282733	Albrecht Zimmermann	23.4917	0.0	1
1671896	Klenovnik (Požarevac)	22.1981	0.0	1
7916483	Le Disparu de Singapour	0.0648	0.0	0
7365823	Jean-Baptiste Sazerac de Forge	19.4054	0.0	0
4938299	Hepberg	4.8531	0.0	0
11003983	Fruitland Park (Floride)	25.6041	0.0	0
6182608	Głębock (Lelkowo)	6.6139	0.0	0
8278956	Grand prix d'escrime de Berne 2014	15.1337	0.0	0
9532931	(13937) Roberthargraves	31.1281	0.0	0
3336104	Jean-Pierre Ravaux	15.0633	0.0	0
737484	Paul Ricœur	42.6819	141.0	4
9704274	Dîner-spectacle	1.4157	0.0	0
7586218	Qunu	12.3187	1.0	2
985614	Groupe 8 du tableau périodique	11.157	4.0	0
887193	Albiano d'Ivrea	28.994	0.0	0
166977	Ningguo	27.3658	0.0	0
4659919	Edward Chapman	9.7727	1.0	0
9311359	Petite rivière à l'Ours (Témiscamingue)	13.0598	0.0	0
1004024	Péninsule d'Alaska	9.6576	1.0	0
10333434	Mickevičius	0.7556	0.0	0
11166918	Paolo Ferrari	20.387	0.0	0
722274	Variance d'Allan	5.0244	6.0	0
4254942	Aleksandr Avtsine	13.7665	0.0	1
5960337	Symmachia falcistriga	26.8616	0.0	0
459958	Jean Stoetzel	20.881999999999998	6.0	0
558544	Canton de Blâmont	18.5297	0.0	1
1878450	Havana Moon	4.2279	1.0	0
2792964	Võros	7.3227	1.0	0
9963054	Melchior Bézave de Mazières	3.6274	0.0	0
2029319	Château de Saint-Aubin	1.589	0.0	0
11782425	Concours international de chant Bordeaux/Médoc	37.0322	1.0	0
11199513	Constitution de la Thaïlande	6.2268	0.0	0
7924307	Navia intermedia	17.8294	0.0	0
5010960	Capitaine Bonhomme (série télévisée)	9.7723	1.0	0
1443413	Évangile de Pierre	31.2575	9.0	0
2973489	Eugenia Roccella	11.5898	0.0	0
11308892	Christian Kipfer	15.835	0.0	0
309716	Siersthal	27.8079	2.0	0
191684	Plume (Michaux)	47.843999999999994	9.0	4
5642723	Combat de Bodenbichl	6.3861	1.0	0
11356993	Jacob Youmbi E'pandi	21.703000000000003	0.0	1
10578656	Communauté de communes Le Grand Charolais	21.8949	4.0	1
10557717	Championnats d'Europe de triathlon 2002	17.8362	0.0	0
199584	Oscaecilia	6.3458	0.0	0
53039	Ligne 1 du métro de Paris	80.9411	132.0	2
10355061	Ede Sud	26.4306	0.0	0
5521770	Timothée II de Constantinople	9.4937	0.0	0
3954251	Disney Channel (États-Unis)	20.6216	2.0	0
9926669	Abbaye Santa María de la Oliva	5.1564	1.0	0
9262765	Shlomo Moussaieff (marchand de Boukhara)	14.8312	0.0	0
7101477	Tombeau du roi Tongmyong	20.9873	0.0	0
6021946	Ushida Findlay Architects	32.4901	0.0	1
7584523	Club Balonmano Villa de Aranda	18.6737	0.0	0
168280	Danvers	13.7616	6.0	0
4848818	Pandemonium (bande dessinée)	37.5354	0.0	0
1015800	Cercle de Goseck	18.8364	3.0	0
1712290	ISO 21127	12.0887	4.0	0
6408563	Sanniki	2.2343	0.0	0
5472936	Loxosceles belli	17.1241	0.0	0
5431223	Lance Pendleton	24.1534	0.0	0
591994	Stuart Townsend	20.8374	32.0	0
5344390	Total de buts	5.2552	1.0	0
11936041	(36361) 2000 OS4	33.4028	0.0	0
812336	Francis Craig	26.6517	0.0	0
11345888	Air libre	2.1379	0.0	0
11408146	Georgy Ushakov	6.3259	0.0	0
7616532	4e bataillon de volontaires de la Haute-Marne	0.0659	0.0	0
3575592	Megalyridae	3.0299	0.0	1
4370055	Anthurium eggersii	3.0356	0.0	0
10740617	Ilija Nestorovski	27.4516	1.0	0
2286382	Villamaderne	22.3533	0.0	0
5877476	Hathersage	13.8776	0.0	0
3129396	Long John Silver	19.6395	26.0	0
3585755	Fulu	12.6251	0.0	0
1455238	Musée de la Mer (Acadie)	3.4959	0.0	0
9312001	Liste des chapitres de Step Up Love Story	61.7527	1.0	0
9598378	Diabète néonatal	2.1002	1.0	0
10748050	James Blount	3.0787	0.0	0
4944791	Strážná	26.0165	0.0	0
995400	La Côte sauvage	0.7363	0.0	0
1882605	John Murray (maison d'édition)	13.6275	2.0	0
6195052	Championnat de France de football de Ligue 2 2012-2013	33.2109	11.0	0
8158897	Kurki (Kozienice)	18.8783	0.0	0
7243574	Thelma Kalama	11.6117	0.0	0
11308659	Amaurobius hagiellus	16.2407	0.0	0
3847558	Dominique Rodgers-Cromartie	4.8643	0.0	0
2841717	Comté d'Oklahoma	5.3846	0.0	0
759698	Charles Genuys	11.627	1.0	0
1814751	Souche (rivière)	39.4968	1.0	0
5494765	Torera	36.334	2.0	0
11672005	Cimetière militaire britannique de la Baraque	25.3443	0.0	0
